trade_year,from_code,from_iso3,to_code,to_iso3,sector_id,sector,trade_value
2199,,A,,A,,AG,0
2199,,B,,A,,AG,0
2199,,C,,A,,AG,0
2199,,D,,A,,AG,0
2199,,A,,A,,RM,0
2199,,B,,A,,RM,4.18
2199,,C,,A,,RM,4.18
2199,,D,,A,,RM,4.18
2199,,A,,A,,ML,0
2199,,B,,A,,ML,8.54
2199,,C,,A,,ML,0.854
2199,,D,,A,,ML,8.54
2199,,A,,B,,AG,28.2
2199,,B,,B,,AG,0
2199,,C,,B,,AG,0.576
2199,,D,,B,,AG,0
2199,,A,,B,,RM,2.18
2199,,B,,B,,RM,0
2199,,C,,B,,RM,2.18
2199,,D,,B,,RM,2.18
2199,,A,,B,,ML,4.65
2199,,B,,B,,ML,0
2199,,C,,B,,ML,0.465
2199,,D,,B,,ML,4.65
2199,,A,,C,,AG,0.00212
2199,,B,,C,,AG,0
2199,,C,,C,,AG,0
2199,,D,,C,,AG,0.0403
2199,,A,,C,,RM,0.426
2199,,B,,C,,RM,41.8
2199,,C,,C,,RM,0
2199,,D,,C,,RM,0.426
2199,,A,,C,,ML,0.115
2199,,B,,C,,ML,0.115
2199,,C,,C,,ML,0
2199,,D,,C,,ML,2.07
2199,,A,,D,,AG,2.76
2199,,B,,D,,AG,2.76
2199,,C,,D,,AG,0
2199,,D,,D,,AG,0
2199,,A,,D,,RM,0
2199,,B,,D,,RM,47
2199,,C,,D,,RM,0.475
2199,,D,,D,,RM,0
2199,,A,,D,,ML,0.749
2199,,B,,D,,ML,0.749
2199,,C,,D,,ML,0.0749
2199,,D,,D,,ML,0
