,from_iso3,to_iso3,sector,trade_value
0,CHN,ABW,Inland Transport,291067.0700054659
1,CHN,AFG,Inland Transport,163249.25128656212
2,CHN,AGO,Inland Transport,7383233.192540618
3,CHN,AIA,Inland Transport,63864.559084199434
4,CHN,ALB,Inland Transport,755399.9846555891
5,CHN,AND,Inland Transport,231761.9228803009
6,CHN,ANT,Inland Transport,890966.7373702647
7,CHN,ARE,Inland Transport,18691177.288060006
8,CHN,ARG,Inland Transport,14266179.279505815
9,CHN,ARM,Inland Transport,1204564.3918008336
10,CHN,ASM,Inland Transport,3.159229752368641
11,CHN,ATG,Inland Transport,169792.7265200784
12,CHN,AUS,Inland Transport,28392797.57853772
13,CHN,AUT,Inland Transport,102107094.36744484
14,CHN,AZE,Inland Transport,2264050.3891872247
15,CHN,BDI,Inland Transport,270574.29716508463
16,CHN,BEL,Inland Transport,136340606.2569157
17,CHN,BEN,Inland Transport,742966.6034240628
18,CHN,BFA,Inland Transport,1987976.6036185268
19,CHN,BGD,Inland Transport,8397958.676098814
20,CHN,BGR,Inland Transport,4962315.678601913
21,CHN,BHR,Inland Transport,40796.13843682916
22,CHN,BHS,Inland Transport,849921.0504424763
23,CHN,BIH,Inland Transport,431993.5614801588
24,CHN,BLR,Inland Transport,415860.7775035769
25,CHN,BLZ,Inland Transport,233340.80509694532
26,CHN,BMU,Inland Transport,1364509.695663865
27,CHN,BOL,Inland Transport,1475681.883727208
28,CHN,BRA,Inland Transport,45532210.62910473
29,CHN,BRB,Inland Transport,379442.64465767134
30,CHN,BRN,Inland Transport,1167.2566965362325
31,CHN,BTN,Inland Transport,11865.350672323568
32,CHN,BWA,Inland Transport,78030.96194772277
33,CHN,CAF,Inland Transport,227892.65051835487
34,CHN,CAN,Inland Transport,88907178.2124757
35,CHN,CHE,Inland Transport,443503.2365411726
36,CHN,CHL,Inland Transport,28989250.06328129
37,CHN,CIV,Inland Transport,3892309.747492082
38,CHN,CMR,Inland Transport,1474835.3404460438
39,CHN,COD,Inland Transport,3770964.0094200713
40,CHN,COG,Inland Transport,62724.667778641306
41,CHN,COK,Inland Transport,384.5083678200552
42,CHN,COL,Inland Transport,6905435.770269146
43,CHN,COM,Inland Transport,137656.72342606148
44,CHN,CRI,Inland Transport,1593064.098398386
45,CHN,CUB,Inland Transport,6475.126913531198
46,CHN,CYM,Inland Transport,3467.9969973675543
47,CHN,CYP,Inland Transport,11251992.894123372
48,CHN,CZE,Inland Transport,28078478.652189355
49,CHN,DEU,Inland Transport,488522391.329468
50,CHN,DJI,Inland Transport,165712.06120536654
51,CHN,DMA,Inland Transport,82942.40836369577
52,CHN,DNK,Inland Transport,196600135.5602933
53,CHN,DOM,Inland Transport,2859438.627449398
54,CHN,DZA,Inland Transport,7328052.533659242
55,CHN,ECU,Inland Transport,4322757.444446676
56,CHN,EGY,Inland Transport,18095356.698263053
57,CHN,ESH,Inland Transport,20180.595486202823
58,CHN,ESP,Inland Transport,136851779.59959066
59,CHN,EST,Inland Transport,6487933.91955276
60,CHN,ETH,Inland Transport,3914215.1650227914
61,CHN,EUX,Inland Transport,18863.797399854342
62,CHN,FIN,Inland Transport,31758276.51633564
63,CHN,FJI,Inland Transport,7.1190209520575145
64,CHN,FRA,Inland Transport,285662181.23793656
65,CHN,FRO,Inland Transport,175275.05098602345
66,CHN,GAB,Inland Transport,134.90054432526546
67,CHN,GBR,Inland Transport,223792954.70481092
68,CHN,GEO,Inland Transport,1365958.2649448854
69,CHN,GHA,Inland Transport,28.308807023854985
70,CHN,GIB,Inland Transport,740830.6452462609
71,CHN,GIN,Inland Transport,544856.6571790706
72,CHN,GMB,Inland Transport,81919.4296675372
73,CHN,GNB,Inland Transport,66732.77862462014
74,CHN,GNQ,Inland Transport,3163.9829085810525
75,CHN,GRC,Inland Transport,55574494.92242567
76,CHN,GRD,Inland Transport,110925.85565277588
77,CHN,GTM,Inland Transport,2717352.4347903514
78,CHN,GUF,Inland Transport,49.86421170325263
79,CHN,GUY,Inland Transport,251893.59448547446
80,CHN,HKG,Inland Transport,72635742.99860583
81,CHN,HND,Inland Transport,1404496.5738194392
82,CHN,HRV,Inland Transport,4780062.559190059
83,CHN,HTI,Inland Transport,21818.926316038458
84,CHN,HUN,Inland Transport,21471589.77758808
85,CHN,IDN,Inland Transport,25686636.60638757
86,CHN,IND,Inland Transport,54457309.83269599
87,CHN,IRL,Inland Transport,13478342.969367232
88,CHN,IRN,Inland Transport,12971040.304611927
89,CHN,IRQ,Inland Transport,11762590.02460396
90,CHN,ISL,Inland Transport,4183638.813027681
91,CHN,ISR,Inland Transport,20048460.19297592
92,CHN,ITA,Inland Transport,199170921.68945813
93,CHN,JAM,Inland Transport,1733190.3925931545
94,CHN,JOR,Inland Transport,5104924.629431917
95,CHN,JPN,Inland Transport,218188327.68113643
96,CHN,KAZ,Inland Transport,5110878.722827175
97,CHN,KEN,Inland Transport,2234097.2049620138
98,CHN,KGZ,Inland Transport,145284.31554558285
99,CHN,KHM,Inland Transport,1475097.6209493026
100,CHN,KNA,Inland Transport,185094.4479798309
101,CHN,KOR,Inland Transport,99602394.78294148
102,CHN,KWT,Inland Transport,13146805.48222514
103,CHN,LAO,Inland Transport,29.443926277588925
104,CHN,LBN,Inland Transport,4384880.829210465
105,CHN,LBY,Inland Transport,5700627.4428880075
106,CHN,LCA,Inland Transport,198858.47741683913
107,CHN,LKA,Inland Transport,4966018.65820914
108,CHN,LSO,Inland Transport,156497.78557409762
109,CHN,LTU,Inland Transport,9248350.162797172
110,CHN,LUX,Inland Transport,10607636.658729717
111,CHN,LVA,Inland Transport,5064634.2062468985
112,CHN,MAC,Inland Transport,850125.2844516019
113,CHN,MAR,Inland Transport,8668079.439927464
114,CHN,MDA,Inland Transport,733686.6538609337
115,CHN,MDG,Inland Transport,996895.1274912702
116,CHN,MDV,Inland Transport,385909.0453313023
117,CHN,MEX,Inland Transport,39158258.55581546
118,CHN,MHL,Inland Transport,40435.471683192845
119,CHN,MKD,Inland Transport,759918.9731292926
120,CHN,MLI,Inland Transport,1478068.6554583157
121,CHN,MLT,Inland Transport,2387092.908702348
122,CHN,MMR,Inland Transport,1081.8071370131163
123,CHN,MNE,Inland Transport,370770.10958654975
124,CHN,MNG,Inland Transport,719989.9938494848
125,CHN,MOZ,Inland Transport,736259.6536930364
126,CHN,MRT,Inland Transport,399.0858018008623
127,CHN,MSR,Inland Transport,15414.239854234003
128,CHN,MUS,Inland Transport,1272654.837951325
129,CHN,MWI,Inland Transport,57708.597961473395
130,CHN,MYS,Inland Transport,33949927.37468725
131,CHN,NAM,Inland Transport,532895.3153754526
132,CHN,NCL,Inland Transport,834939.126562913
133,CHN,NER,Inland Transport,1283418.4542512458
134,CHN,NGA,Inland Transport,2244541.11365409
135,CHN,NIC,Inland Transport,797264.296744991
136,CHN,NIU,Inland Transport,2.024105578269651
