country1,country2,mindist
GUY,GUY,0.0
GUY,SUR,0.0
GUY,TTO,210.201513245663
GUY,VEN,0.0
GUY,WSM,12336.9999339804
GUY,TON,12705.395874446001
GUY,ARG,2597.29460352286
GUY,BOL,1400.3479483351598
GUY,BRA,0.0
GUY,CHL,2370.06702866796
GUY,ECU,1682.8496605559699
GUY,PRY,2265.63271327073
GUY,PER,1256.93554607913
GUY,URY,3462.8582330779
GUY,GTM,3116.9334070667796
GUY,MEX,3150.81300634104
GUY,BRB,501.134278237361
GUY,DMA,750.8957600679989
GUY,GRD,427.27376249166997
GUY,LCA,581.037462865532
GUY,VCT,523.962328817089
GUY,DOM,1420.40190026053
GUY,HTI,1651.0225225226902
GUY,JAM,2036.23071754457
GUY,BHS,1971.23268731091
GUY,BLZ,3155.92558315797
GUY,COL,667.031616443758
GUY,CRI,2369.02242671058
GUY,CUB,1996.9986143585998
GUY,SLV,3003.09675386549
GUY,HND,2571.37163353956
GUY,NIC,2509.85670952106
GUY,PAN,1761.4438470303799
GUY,ATG,952.860361259619
GUY,KNA,1000.60502474371
GUY,ISL,6801.12145515762
GUY,IRL,6566.30920676969
GUY,GBR,6767.1390907429695
GUY,CPV,3673.4110184658502
GUY,CIV,5335.32433060349
GUY,GHA,5931.39075198352
GUY,LBR,5019.85812605516
GUY,PRT,4444.2970700587
GUY,ESP,4765.708414761711
GUY,BFA,5703.15218165558
GUY,GIN,4659.35300756432
GUY,GNB,4496.06452686945
GUY,MLI,5001.86776471753
GUY,SEN,4437.25620357351
GUY,SLE,4838.18596539376
GUY,GMB,4494.15455248545
GUY,DJI,10850.7980104833
GUY,ERI,10228.3580775653
GUY,ETH,9929.53987676692
GUY,MNG,12874.8007181363
GUY,SDN,8678.46827285692
GUY,UGA,9586.51074827047
GUY,IRQ,10197.8228199225
GUY,JOR,9894.38468988411
GUY,KAZ,10457.4208890648
GUY,NOR,7787.21019721621
GUY,RUS,8564.01239393962
GUY,SWE,8102.754183487329
GUY,DZA,5635.991902364561
GUY,AND,7002.35823916938
GUY,CMR,7225.559069469259
GUY,CAF,7880.725811879821
GUY,TUN,7305.0475855364
GUY,BEN,6392.72775659161
GUY,GNQ,7219.46319975147
GUY,KIR,10645.889606024399
GUY,NER,6335.54385816436
GUY,NGA,6586.53008147775
GUY,STP,7009.53668970731
GUY,TGO,6291.12256283657
GUY,ALB,8426.58601622315
GUY,BIH,8183.45523915318
GUY,HRV,8020.318958724009
GUY,ITA,7480.785756304691
GUY,MKD,8535.523166155308
GUY,MLT,7953.37784415284
GUY,SMR,7907.4376508919295
GUY,BGR,8694.235336359829
GUY,CYP,9578.822183020691
GUY,GEO,10122.6896520882
GUY,GRC,8454.35127185916
GUY,LBN,9860.89870996
GUY,TUR,8973.39514559208
GUY,AUT,7747.61328592576
GUY,CZE,7989.65190981496
GUY,DNK,7845.20717672663
GUY,HUN,8236.0438571335
GUY,POL,8173.71779320657
GUY,SVK,8307.08850851007
GUY,SVN,8021.36425267164
GUY,BEL,7351.3144897437205
GUY,FRA,6743.75690214344
GUY,LUX,7532.439854658929
GUY,NLD,7415.206980798679
GUY,CHE,7456.992077059301
GUY,BLR,8777.53557526903
GUY,EST,8717.98903689249
GUY,FIN,8603.57833776256
GUY,LVA,8655.70552906376
GUY,LTU,8655.70552906376
GUY,MDA,9031.93655960969
GUY,ROU,8550.11960139848
GUY,UKR,8698.25184660352
GUY,MDV,14423.226368048601
GUY,OMN,11792.3407684172
GUY,SOM,10837.1669702254
GUY,LKA,14963.719137155
GUY,TKM,11157.015251756598
GUY,UZB,11288.942435486299
GUY,YEM,10884.141993810501
GUY,ARM,10450.6895448494
GUY,AZE,10574.1684009012
GUY,BHR,11457.659849883501
GUY,IRN,10539.017249163
GUY,KWT,11010.457307716799
GUY,QAT,11505.6741577363
GUY,SAU,9871.95382140411
GUY,ARE,11619.239870279
GUY,AFG,12114.3253524035
GUY,KGZ,12472.157288209099
GUY,NPL,13996.213527739299
GUY,PAK,12318.2711471678
GUY,TJK,12409.3281951449
GUY,BGD,14821.927118931299
GUY,BTN,14786.5227913551
GUY,BRN,18407.583802838202
GUY,JPN,13619.1762380333
GUY,PRK,14207.2976924022
GUY,PLW,17597.842633573702
GUY,PHL,16910.5724361331
GUY,KOR,14710.9073275917
GUY,KHM,16859.9624650823
GUY,LAO,16041.6554822042
GUY,MMR,15251.1959272897
GUY,THA,16048.9787647901
GUY,VNM,16056.0049810002
GUY,MHL,14273.7190463295
GUY,FSM,14943.5281659556
GUY,BWA,8702.12058706583
GUY,BDI,9524.8347909192
GUY,KEN,10054.7032095505
GUY,RWA,9509.43306176978
GUY,ZMB,8816.907761657221
GUY,ZWE,9206.697539011491
GUY,COM,11117.3668112892
GUY,LSO,9488.28717517573
GUY,MWI,9975.97251659638
GUY,MOZ,9715.84840219604
GUY,ZAF,8457.670683480079
GUY,SWZ,9839.575165626371
GUY,AGO,7655.11074999345
GUY,COG,7549.67721246573
GUY,COD,7682.57923074193
GUY,FJI,13237.3461579993
GUY,GAB,7259.13914680706
GUY,NAM,7774.521734307521
GUY,NZL,12251.284241765
GUY,MDG,11097.3285315924
GUY,MUS,12566.7384569701
GUY,SYC,12459.3280638328
GUY,AUS,14640.6981672499
GUY,NRU,14636.1875084131
GUY,PNG,15906.007957474
GUY,SLB,14776.782153138998
GUY,TUV,13343.4780074801
GUY,VUT,14328.266646906499
GUY,CAN,3902.00701646877
GUY,DEU,7565.4485739456495
GUY,CHN,12835.289196523301
GUY,MYS,17114.0655675205
GUY,SGP,17750.8506918174
GUY,IDN,16707.8719288161
GUY,LBY,7381.89369002496
GUY,TCD,7766.34681672376
GUY,ISR,9799.78357510627
GUY,SYR,9885.5144922417
GUY,EGY,8899.07390300708
GUY,IND,13187.408011969299
GUY,USA,2840.4046801110303
GUY,TZA,9573.4423585787
GUY,MAR,4621.63352972784
GUY,MRT,4566.30988391155
SUR,GUY,0.0
SUR,SUR,0.0
SUR,TTO,637.526655294327
SUR,VEN,305.30238941274797
