,term,estimate,p.value,statistic,std.error
0,(Intercept),-14.0156454006,0.0,-106.58965072,0.131491615799
1,factor(from_country)AGO,-0.144995573637,0.440625673353,-0.77113837723,0.188027957002
2,factor(from_country)ALB,0.335700556556,0.0410608951744,2.04292556948,0.164323439665
3,factor(from_country)AND,0.318465309585,0.0611410925107,1.87248251016,0.170076520265
4,factor(from_country)ARE,3.25984859902,3.56006605164e-118,23.124222005,0.1409711686
5,factor(from_country)ARG,3.97307258192,6.87166691173e-180,28.6235925764,0.138804120109
6,factor(from_country)ARM,0.745340101663,1.23092034666e-05,4.37212958243,0.170475299876
7,factor(from_country)ATG,0.888887180523,2.50350598903e-07,5.15758689214,0.172345555996
8,factor(from_country)AUS,4.67516972827,2.97360236716e-259,34.4376140243,0.135757655132
9,factor(from_country)AUT,3.74889212237,3.17045936876e-170,27.8336784593,0.134689064826
10,factor(from_country)AZE,0.764745253406,6.59876445333e-07,4.97294803536,0.153781066677
11,factor(from_country)BDI,0.119633972751,0.531628773193,0.625522510104,0.191254464577
12,factor(from_country)BEL,4.90636312678,7.79136607633e-293,36.6236090424,0.13396722101
13,factor(from_country)BEN,0.983420682369,4.98486710727e-08,5.45202360385,0.180377187229
14,factor(from_country)BFA,0.304889973332,0.098128181265,1.65400313669,0.184334579887
15,factor(from_country)BGD,1.56887748148,1.38515654628e-26,10.6726804374,0.146999386957
16,factor(from_country)BGR,2.0616999929,7.81958820307e-52,15.1515576617,0.136071817759
17,factor(from_country)BHR,1.89195571469,8.29295821555e-34,12.1216960383,0.15608011525
18,factor(from_country)BHS,1.60097601455,1.45568336126e-19,9.04881179823,0.176926656256
19,factor(from_country)BIH,1.29194734661,9.50769564182e-17,8.3113833767,0.155443117956
20,factor(from_country)BLR,2.51013533103,4.69126903084e-65,17.0379496785,0.147326138321
21,factor(from_country)BLZ,1.78961743809,3.11372618139e-23,9.93002530925,0.180222847612
22,factor(from_country)BOL,2.06338086882,3.23116027402e-37,12.7493749558,0.161841727612
23,factor(from_country)BRA,4.72793731427,1.48527111393e-263,34.7252106376,0.136152876468
24,factor(from_country)BRB,0.682431117331,3.10027375385e-05,4.16605255668,0.163807611173
25,factor(from_country)BRN,0.53392128377,0.00974193979896,2.58487763432,0.20655572886
26,factor(from_country)BTN,-0.592097654325,0.011549955771,-2.52562348249,0.234436232649
27,factor(from_country)BWA,1.12087270084,8.72853245213e-11,6.48776834773,0.172767065772
28,factor(from_country)CAF,0.754801415676,0.000201018053885,3.71779095204,0.203024168226
29,factor(from_country)CAN,4.08981489717,1.0686649598e-198,30.1020850091,0.135864837799
30,factor(from_country)CHE,3.37157692404,2.10124579652e-136,24.8743489473,0.135544328464
31,factor(from_country)CHL,3.58990406097,1.00230299639e-139,25.1802443049,0.142568277635
32,factor(from_country)CHN,6.21824615346,0.0,46.2833118233,0.13435179784
33,factor(from_country)CIV,2.13513380951,3.69331535051e-45,14.1048989289,0.151375335638
34,factor(from_country)CMR,1.35105303039,6.41524756364e-18,8.6255696221,0.156633485043
35,factor(from_country)COD,0.733452733281,7.3804258572e-05,3.96374537276,0.185040325325
36,factor(from_country)COG,1.35561188693,1.04232257108e-13,7.43586038833,0.182307334476
37,factor(from_country)COL,2.47341039837,1.08521037908e-65,17.123469154,0.144445636344
38,factor(from_country)COM,0.931402337977,0.000455976256319,3.50541661894,0.265703749148
39,factor(from_country)CPV,-0.340754811568,0.102704255375,-1.6318886509,0.208810087244
40,factor(from_country)CRI,2.89414481482,8.49516097353e-84,19.4026728394,0.149162171562
