"trade_year","from_iso3","to_iso3","sector","trade_value"
2005,"ITA","BGR","Transport Services",103707428
2005,"DNK","ISR","Water Transport",189524703.666667
2005,"HUN","DEU","Vehicle Trade",91033516.6666667
2005,"CZE","HUN","Real Estate",4484629.5
2005,"SVK","GBR","Health",92017
2005,"NOR","LVA","Utilities",847221.166666667
2005,"ITA","LTU","Utilities",2194635.16666667
2005,"SWE","IRL","Hospitality",109712100
2005,"RoW","PSE","Public Services",33928210
2005,"USA","SWE","Transport Services",64054170
2005,"AUS","RoW","Business Services",1033797089
2005,"RUS","ERI","Public Services",138020
2005,"IRL","ESP","Air Transport",17498883.3333333
2005,"BRA","CYP","Air Transport",7256334.66666667
2005,"RUS","COG","Water Transport",1858675.83333333
2005,"ROU","BGR","Financial Services",6406950
2005,"USA","NZL","Water Transport",8333333.33333333
2005,"RUS","PAK","Construction",1330
2005,"POL","NOR","Wholesale Trade",12029007.6666667
2005,"CZE","NOR","Transport Services",6638173
2005,"PRT","BGR","Business Services",1597902.5
2005,"VEN","SVN","Inland Transport",196.666666666667
2005,"ISR","NLD","Utilities",4220180.16666667
2005,"IRL","PRT","Vehicle Trade",17498883.3333333
2005,"FRA","ARG","Other Services",15336100
2005,"POL","IND","Financial Services",293745
2005,"IDN","LUX","Business Services",58985
2005,"HUN","CAN","Transport Services",2630731
2005,"CAN","SRB","Retail Trade",1899000
2005,"CIV","RoW","Communications",85993205
2005,"MLT","LTU","Water Transport",83561.3333333333
2005,"KOR","HKG","Other Services",300000000
2005,"NOR","CHN","Hospitality",294925
2005,"BLR","KGZ","Utilities",83542.1666666667
2005,"ECU","KGZ","Inland Transport",17465.8333333333
2005,"CZE","GRC","Real Estate",725515.5
2005,"CYP","HRV","Transport Services",318520
2005,"RoW","GRD","Construction",4075848
2005,"RoW","BHS","Utilities",60118030.6666667
2005,"HRV","AUS","Other Services",318519
2005,"ESP","RUS","Water Transport",12856568.8333333
2005,"CZE","ITA","Financial Services",6625195
2005,"LUX","RUS","Business Services",12190486.5
2005,"NAM","RoW","Air Transport",48831282.5
2005,"THA","KGZ","Air Transport",213878.166666667
2005,"GRC","CAN","Transport Services",2654325
2005,"LBR","SRB","Other Services",118000
2005,"AUT","IND","Hospitality",34211300
2005,"SOM","KGZ","Transport Services",40038
2005,"CZE","DEU","Education",41342587
2005,"FIN","CYP","Utilities",2692861.83333333
2005,"RoW","SRB","Health",13885000
2005,"RoW","BWA","Communications",37055499
2005,"HRV","SRB","Air Transport",409333.333333333
2005,"MKD","RoW","Other Services",57315724.5
2005,"PHL","RUS","Vehicle Trade",18244.3333333333
2005,"POL","ISR","Vehicle Trade",2101635.5
2005,"DEU","LVA","Water Transport",44338827.8333333
2005,"EST","CZE","Financial Services",277229
2005,"SVK","BGR","Communications",151002
2005,"SRB","LUX","Real Estate",1000
2005,"IND","LTU","Inland Transport",238691.833333333
2005,"CHL","ITA","Other Services",589850
2005,"EGY","SVN","Wholesale Trade",119346.333333333
2005,"ESP","MEX","Water Transport",26150016.6666667
2005,"SWE","THA","Business Services",37936793.5
2005,"BRA","SWE","Water Transport",23257392.3333333
2005,"LUX","MEX","Business Services",943760
2005,"CZE","AUT","Inland Transport",314145852
2005,"DEU","ESP","Inland Transport",346831800
2005,"RoW","LBN","Inland Transport",313192725.5
2005,"GRC","DEU","Vehicle Trade",277426116.666667
2005,"KGZ","BIH","Vehicle Trade",1080
2005,"THA","ISR","Other Services",2000000
2005,"ITA","ISL","Business Services",6488350
2005,"NZL","BGR","Education",60165
2005,"FIN","NZL","Other Services",353910
2005,"LVA","LUX","Hospitality",117970
2005,"SVN","TUR","Retail Trade",1235146
2005,"QAT","RUS","Inland Transport",1029256.83333333
2005,"RoW","MNG","Water Transport",36023333.3333333
2005,"THA","DEU","Public Services",9437600
2005,"RUS","BHS","Air Transport",7985588
2005,"NLD","RUS","Transport Services",37896928
2005,"KGZ","KAZ","Water Transport",625696.333333333
2005,"ESP","CZE","Public Services",1540688
2005,"SRB","GNQ","Water Transport",1000
2005,"BRA","HRV","Hospitality",2391253
2005,"PRT","GRC","Other Services",3020032
2005,"DNK","DEU","Hospitality",3521404500
2005,"RUS","PAN","Public Services",7214
2005,"BGR","GRC","Inland Transport",129553079.666667
2005,"FRA","THA","Hospitality",125048200
2005,"HRV","BGR","Hospitality",11642460
2005,"RUS","MHL","Wholesale Trade",504448.166666667
2005,"AGO","RoW","Communications",28078000
2005,"EST","ESP","Public Services",11797
2005,"PAN","RUS","Inland Transport",983021.166666667
2005,"KOR","CHN","Vehicle Trade",681800000
2005,"RUS","KNA","Real Estate",280327.5
2005,"RoW","BOL","Business Services",64530000
2005,"NOR","DNK","Inland Transport",345248642.166667
2005,"IND","NOR","Communications",294926
2005,"SVK","PRT","Transport Services",795118
2005,"ROU","LVA","Vehicle Trade",271527.666666667
2005,"MYS","CZE","Financial Services",1590236
2005,"RUS","LVA","Construction",5056047
2005,"SRB","DNK","Air Transport",2238166.66666667
2005,"KGZ","GEO","Vehicle Trade",243.166666666667
2005,"SVN","NLD","Education",1928810
2005,"RoW","PRT","Financial Services",461876144
2005,"SGP","LUX","Water Transport",471880
2005,"CZE","CYP","Wholesale Trade",248916.666666667
2005,"POL","CYP","Transport Services",30790170
2005,"CYP","BEL","Business Services",14822343
2005,"CHE","EST","Inland Transport",1966.16666666667
2005,"GBR","LUX","Wholesale Trade",13940121.6666667
2005,"PRT","HUN","Other Services",1868644
